Date,Open,High,Low,Close,Idx,Body,Range,UWick,LWick,Close_Pct_High,Open_Pct_High,Iday_Idx,Iday_High,Iday_Low,Iday_Range,Close_Pct_DHigh,Open_Pct_DHigh,Yday_High,Yday_Low,Day_Idx,ADR,ATR,ATR4,SMA4,SMA8,SMA16,SMA32,BB_Upper_16_2,BB_Lower_16_2,Close_Pct_SMA,High_Pct_SMA,Low_Pct_SMA,RSI,RSI_DVG,Sig_High,Sig_Low,SMA_Trend,SMA4_Slope,SMA16_Slope,SMA32_Slope,SMA4_Slope_SMA,SMA16_Slope_SMA,SMA32_Slope_SMA,Hammer,Shooting_Star,Bull_Engulf,Bear_Engulf,Dark_Cloud,Piercing,ILR,IHR,S_R,S_R_Level,BBU_BO,BBL_BO,Bull_SMA_BO,Bear_SMA_BO,Bull_BBR,Bear_BBR,Bear_BBR_C1,Bear_BBR_C2,Bear_BBR_C3,Bear_BBR_C4,Bear_BBR_V2,Bull_BBR_C1,Bull_BBR_C2,Bull_BBR_C3,Bull_BBR_C4,Bull_BBR_V2,Bull_TC,Bear_TC,Bull_TC_Candle,Bear_TC_Candle,Bull_BM,Bear_BM,Bull_TM,Bear_TM,S_R_Signal,S_R_Entry,Symbol
2025-03-12 17:15:00-04:00,1.43689,1.43689,1.43666,1.436815,0,7.500000000004725e-05,0.00022999999999995246,0.0,0.00015499999999990521,0.326086956522012,0.0,0,1.43689,1.43666,0.00022999999999995246,0.326086956522012,0.0,,,0,,,0.0008450000000000957,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,0.0,0.0,0.0,True,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,USDCAD
2025-03-12 17:30:00-04:00,1.436815,1.43686,1.436805,1.43684,1,2.4999999999941735e-05,5.499999999991623e-05,2.0000000000131024e-05,9.999999999843467e-06,0.36363636363929974,0.8181818181843873,1,1.43689,1.43666,0.00022999999999995246,0.2173913043483298,0.326086956522012,,,0,,,0.0006462500000000704,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,0.0,0.0,0.0,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,USDCAD
2025-03-12 17:45:00-04:00,1.43684,1.437235,1.4368,1.43688,2,4.0000000000040004e-05,0.0004349999999999632,0.00035500000000010523,3.999999999981796e-05,0.8160919540232995,0.9080459770119049,2,1.437235,1.43666,0.0005749999999999922,0.6173913043480175,0.6869565217393924,,,0,,,0.0005537500000000195,0.0,0.0,0.0,0.0,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,USDCAD
2025-03-12 18:00:00-04:00,1.43688,1.43696,1.43662,1.436635,3,0.0002449999999998287,0.00034000000000000696,8.000000000008001e-05,1.5000000000098268e-05,0.9558823529408883,0.23529411764728933,3,1.437235,1.43662,0.0006150000000000322,0.9756097560974024,0.5772357723578645,,,0,,,0.0004574999999999996,1.4367925,0.0,0.0,0.0,,,,,,,,,,0,89.9880367320931,0.0,0.0,,0.0,0.0,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,USDCAD
2025-03-12 18:15:00-04:00,1.436635,1.43665,1.436485,1.43656,4,7.500000000004725e-05,0.00016499999999997073,1.4999999999876223e-05,7.500000000004725e-05,0.5454545454541785,0.09090909090835687,4,1.437235,1.436485,0.0007500000000000284,0.8999999999999407,0.7999999999998816,,,0,,,0.0002487499999999643,1.4367287499999999,0.0,0.0,0.0,,,,,,,,,,0,89.98803620126338,0.0,0.0,,0.0,0.0,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,USDCAD
2025-03-12 18:30:00-04:00,1.43656,1.4366,1.43643,1.43649,5,7.00000000000145e-05,0.00017000000000000348,4.0000000000040004e-05,5.999999999994898e-05,0.6470588235297191,0.23529411764728933,5,1.437235,1.43643,0.0008049999999999446,0.925465838509375,0.8385093167702206,,,0,,,0.0002774999999999861,1.43664125,0.0,0.0,0.0,,,,,,,,,,0,-26.755718624683603,0.0,0.0,38.30508857716822,0.0,0.0,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,USDCAD
2025-03-12 18:45:00-04:00,1.43649,1.43659,1.43647,1.43651,6,1.999999999990898e-05,0.00012000000000012001,8.000000000008001e-05,2.0000000000131024e-05,0.6666666666666666,0.8333333333324081,6,1.437235,1.43643,0.0008049999999999446,0.9006211180125919,0.925465838509375,,,0,,,0.0001987500000000253,1.43654875,0.0,0.0,0.0,,,,,,,,,,0,-30.963756532052027,0.0,0.0,30.564149444155213,0.0,0.0,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,USDCAD
2025-03-12 19:00:00-04:00,1.43651,1.436535,1.435935,1.436085,7,0.0004249999999998977,0.0005999999999999339,2.4999999999941735e-05,0.0001500000000000945,0.7499999999998149,0.04166666666657415,7,1.437235,1.435935,0.0013000000000000789,0.884615384615319,0.5576923076923406,,,0,,,0.00026375000000000703,1.43641125,1.436601875,0.0,0.0,,,,,,,,,,0,-37.47617956138236,0.0,0.0,-1.3019046292136514,0.0,0.0,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,USDCAD
2025-03-12 19:15:00-04:00,1.436085,1.43666,1.435965,1.436655,8,0.0005699999999999594,0.0006950000000001122,5.000000000032756e-06,0.00012000000000012001,0.0071942446043625164,0.8273381294962581,8,1.437235,1.435935,0.0013000000000000789,0.4461538461538383,0.884615384615319,,,0,,,0.0003962500000000424,1.436435,1.436581875,0.0,0.0,,,,,,,,,,0,-20.765057624008794,0.0,0.0,-28.990178085531696,0.0,0.0,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,USDCAD
2025-03-12 19:30:00-04:00,1.436655,1.43678,1.436555,1.43677,9,0.00011500000000008725,0.0002249999999999197,9.999999999843467e-06,9.999999999998899e-05,0.0444444444437646,0.5555555555554459,9,1.437235,1.435935,0.0013000000000000789,0.35769230769223803,0.4461538461538383,,,0,,,0.00041000000000002146,1.436505,1.436573125,0.0,0.0,,,,,,,,,,0,17.35402463626194,0.0,0.0,-17.96274227029531,0.0,0.0,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,USDCAD
