Date,Open,High,Low,Close,Idx,Body,Range,UWick,LWick,Close_Pct_High,Open_Pct_High,Iday_Idx,Iday_High,Iday_H_Idx,Iday_Low,Iday_L_Idx,Iday_HClose,Iday_HC_Idx,Iday_LClose,Iday_LC_Idx,Iday_Range,Close_Pct_DHigh,Open_Pct_DHigh,Yday_High,Yday_Low,Yday_Range,Day_Idx,Yday_Open,Yday_Close,Yday_HClose,Yday_LClose,Yday_BPR,Yday_CPH,Yday_OPH,ADR,ATR,ATR4,ATR16,SMA4,SMA16,SMA32,SMA192,BB_Upper_16_2,BB_Lower_16_2,Close_Pct_SMA,High_Pct_SMA,Low_Pct_SMA,RSI,RSI_DVG,SMA4_Slope,SMA16_Slope,SMA32_Slope,SMA192_Slope,SMA4_Slope_SMA,SMA16_Slope_SMA,SMA32_Slope_SMA,SMA192_Slope_SMA,Sig_High,Sig_Low,SMA_Trend,Close_GT_SMA4,Close_LT_SMA4,Velocity,Velocity_H,Velocity_L,Momentum,Slope_CHG,Slope_DVG,Slope_Sync,D_IB,DMB_H_Idx,DMB_H,DMB_L_Idx,DMB_L,Session,TYO_High,TYO_Low,LDN_High,LDN_Low,NY_High,NY_Low,Session_Range,Hammer,Bull_Pinbar,Shooting_Star,Bear_Pinbar,Bull_BBR_C1,Bear_BBR_C1,Bull_TC,Bear_TC,Bull_XM_V2,Bear_XM_V2,Sig_HClose,Sig_LClose,IB,MB_Idx,MB_High,MB_Low,Vol_Spike,Dev_Spike,BS_SMA_16_32_X,BOD_Slope_16,Iday_SMA_X,Consolidation,Trend_16_32,Levels,Session_Levels,S_Test,S_Level,ST_Count,R_Test,R_Level,RT_Count,Min_Dist,Max_H_Rtm,H_Rtm,Max_L_Rtm,L_Rtm,DMB_H_Max_Rtm,DMB_H_Rtm,DMB_L_Max_Rtm,DMB_L_Rtm,SLB,SBO,SBO_Level,SBO_TS,SBO_Confirmed,SBO_Failed,Bull_Pullback,Bear_Pullback,Bull_M,Bear_M,Bull_Range_BO,Bear_Range_BO,SLB_Signal,SBO_Signal,SBO_Fail_Signal,SFBO_Reversal,Symbol,Entry,SL,TP
2026-08-16 17:15:00-04:00,1.35385,1.3539,1.35375,1.35375,0,9.999999999998899e-05,0.0001500000000000945,5.0000000000105516e-05,0.0,1.0,0.33333333333382675,0,1.3539,0.0,1.35375,0.0,1.35375,0.0,1.35375,0.0,0.0001500000000000945,1.0,0.33333333333382675,,,,0,,,,,,,,,,0.0006124999999999603,0.0006312499999999721,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0,1,0,19.000000000000128,19.50000000000007,19.249999999999545,0,,0,,False,,,,,"{'FX_Open': Timestamp('2026-08-16 17:15:00-0400', tz='US/Eastern'), 'FX_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern'), 'TYO_Open': Timestamp('2026-08-16 19:00:00-0400', tz='US/Eastern'), 'TYO_Close': Timestamp('2026-08-17 04:00:00-0400', tz='US/Eastern'), 'LDN_Open': Timestamp('2026-08-17 02:00:00-0400', tz='US/Eastern'), 'LDN_Close': Timestamp('2026-08-17 11:00:00-0400', tz='US/Eastern'), 'NY_Open': Timestamp('2026-08-17 07:00:00-0400', tz='US/Eastern'), 'NY_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern')}",0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,False,False,False,False,,,False,,,,False,0,1,0.0,0,True,0,"[nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,0.0,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,False,False,,,,,False,False,False,False,False,0,GBPUSD,1.35375,0.0006124999999999603,0.0009187499999999404
2026-08-16 17:30:00-04:00,1.35375,1.35375,1.3535,1.3536,1,0.0001500000000000945,0.0002500000000000835,0.0,9.999999999998899e-05,0.6000000000001776,0.0,1,1.3539,0.0,1.3535,1.0,1.35375,0.0,1.3536,1.0,0.000400000000000178,0.7500000000001388,0.3750000000000694,,,,0,,,,,,,,,,0.0004624999999999768,0.0006218749999999801,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,2,0,-0.7500000000004725,-0.7500000000004725,-1.2500000000004174,0,,0,,False,,,,,"{'FX_Open': Timestamp('2026-08-16 17:15:00-0400', tz='US/Eastern'), 'FX_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern'), 'TYO_Open': Timestamp('2026-08-16 19:00:00-0400', tz='US/Eastern'), 'TYO_Close': Timestamp('2026-08-17 04:00:00-0400', tz='US/Eastern'), 'LDN_Open': Timestamp('2026-08-17 02:00:00-0400', tz='US/Eastern'), 'LDN_Close': Timestamp('2026-08-17 11:00:00-0400', tz='US/Eastern'), 'NY_Open': Timestamp('2026-08-17 07:00:00-0400', tz='US/Eastern'), 'NY_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern')}",0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,False,False,False,False,,,False,,,,False,0,2,0.0,0,True,0,"[nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,0.0,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,False,False,,,,,False,False,False,False,False,0,GBPUSD,1.3536,0.0004624999999999768,0.0006937499999999652
2026-08-16 17:45:00-04:00,1.3536,1.3537,1.3532,1.35345,2,0.00014999999999987246,0.0004999999999999449,9.999999999998899e-05,0.0002500000000000835,0.49999999999977796,0.2,2,1.3539,0.0,1.3532,2.0,1.35375,0.0,1.35345,2.0,0.000700000000000145,0.6428571428570975,0.42857142857160985,,,,0,,,,,,,,,,0.00043749999999997957,0.0006218749999999801,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,3,0,-0.7499999999993623,-0.2500000000005276,-1.4999999999998348,0,0.0,0,,False,,,,,"{'FX_Open': Timestamp('2026-08-16 17:15:00-0400', tz='US/Eastern'), 'FX_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern'), 'TYO_Open': Timestamp('2026-08-16 19:00:00-0400', tz='US/Eastern'), 'TYO_Close': Timestamp('2026-08-17 04:00:00-0400', tz='US/Eastern'), 'LDN_Open': Timestamp('2026-08-17 02:00:00-0400', tz='US/Eastern'), 'LDN_Close': Timestamp('2026-08-17 11:00:00-0400', tz='US/Eastern'), 'NY_Open': Timestamp('2026-08-17 07:00:00-0400', tz='US/Eastern'), 'NY_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern')}",0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,False,False,False,False,,,False,,,,False,0,3,0.0,0,True,0,"[nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,0.0,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,False,False,,,,,False,False,False,False,False,0,GBPUSD,1.35345,0.00043749999999997957,0.0006562499999999694
2026-08-16 18:00:00-04:00,1.35345,1.3536,1.3531,1.3532,3,0.0002500000000000835,0.0004999999999999449,0.00014999999999987246,9.999999999998899e-05,0.8,0.29999999999977794,3,1.3539,0.0,1.3531,3.0,1.35375,0.0,1.3532,3.0,0.0008000000000001339,0.8750000000000346,0.5624999999999827,,,,0,,,,,,,,,,0.0003374999999999906,0.0006281249999999794,1.3535,0.0,0.0,0.0,,,,,,,,89.99153368613284,0.0,0.0,0.0,,0.0,0.0,0.0,,,0,0,1,-1.2500000000004174,-0.49999999999994493,-0.49999999999994493,0,89.99153368613284,0,,False,,,,,"{'FX_Open': Timestamp('2026-08-16 17:15:00-0400', tz='US/Eastern'), 'FX_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern'), 'TYO_Open': Timestamp('2026-08-16 19:00:00-0400', tz='US/Eastern'), 'TYO_Close': Timestamp('2026-08-17 04:00:00-0400', tz='US/Eastern'), 'LDN_Open': Timestamp('2026-08-17 02:00:00-0400', tz='US/Eastern'), 'LDN_Close': Timestamp('2026-08-17 11:00:00-0400', tz='US/Eastern'), 'NY_Open': Timestamp('2026-08-17 07:00:00-0400', tz='US/Eastern'), 'NY_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern')}",0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,False,False,False,False,,,False,,,,False,0,4,0.0,0,True,0,"[nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,0.0,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,False,False,,,,,False,False,False,False,False,0,GBPUSD,1.3532,0.0003374999999999906,0.0005062499999999859
2026-08-16 18:15:00-04:00,1.3532,1.35375,1.3532,1.35375,4,0.0005500000000000504,0.0005500000000000504,0.0,0.0,0.0,1.0,4,1.3539,0.0,1.3531,3.0,1.35375,0.0,1.3532,3.0,0.0008000000000001339,0.18750000000008674,0.8750000000000346,,,,0,,,,,,,,,,0.00045000000000000595,0.0006281249999999933,1.3535,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,22.49788342153321,0.0,0.0,0.0,,,0,1,0,2.7500000000002522,0.7500000000004725,0.49999999999994493,0,-89.99153368613284,0,,False,,,,,"{'FX_Open': Timestamp('2026-08-16 17:15:00-0400', tz='US/Eastern'), 'FX_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern'), 'TYO_Open': Timestamp('2026-08-16 19:00:00-0400', tz='US/Eastern'), 'TYO_Close': Timestamp('2026-08-17 04:00:00-0400', tz='US/Eastern'), 'LDN_Open': Timestamp('2026-08-17 02:00:00-0400', tz='US/Eastern'), 'LDN_Close': Timestamp('2026-08-17 11:00:00-0400', tz='US/Eastern'), 'NY_Open': Timestamp('2026-08-17 07:00:00-0400', tz='US/Eastern'), 'NY_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern')}",0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,False,False,False,False,,,False,,,,False,0,5,0.0,0,True,0,"[nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,0.0,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,False,False,,,,,False,False,False,False,False,0,GBPUSD,1.35375,0.00045000000000000595,0.0006750000000000089
2026-08-16 18:30:00-04:00,1.35375,1.354,1.3537,1.35395,5,0.00019999999999997797,0.000300000000000189,5.0000000000105516e-05,5.0000000000105516e-05,0.16666666666691338,0.8333333333330866,5,1.354,5.0,1.3531,3.0,1.35395,5.0,1.3532,3.0,0.0009000000000001229,0.05555555555566521,0.2777777777778326,,,,0,,,,,,,,,,0.00046250000000003233,0.0006250000000000144,1.3535875,0.0,0.0,0.0,,,,,,,,23.629377730661176,0.0,0.0,0.0,28.405227854198504,0.0,0.0,0.0,,,0,2,0,0.9999999999998899,1.2500000000004174,2.4999999999997247,0,23.629377730661176,0,1.0,False,,,,,"{'FX_Open': Timestamp('2026-08-16 17:15:00-0400', tz='US/Eastern'), 'FX_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern'), 'TYO_Open': Timestamp('2026-08-16 19:00:00-0400', tz='US/Eastern'), 'TYO_Close': Timestamp('2026-08-17 04:00:00-0400', tz='US/Eastern'), 'LDN_Open': Timestamp('2026-08-17 02:00:00-0400', tz='US/Eastern'), 'LDN_Close': Timestamp('2026-08-17 11:00:00-0400', tz='US/Eastern'), 'NY_Open': Timestamp('2026-08-17 07:00:00-0400', tz='US/Eastern'), 'NY_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern')}",0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,False,False,False,False,,,False,,,,False,0,6,0.0,0,True,0,"[nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,0.0,0,False,0.0,0,0.0,0.0,0.0,1.1249999999999654,1.1249999999999654,0.0,0.0,0.0,0.0,,0,0.0,,False,False,,,,,False,False,False,False,False,0,GBPUSD,1.35395,0.00046250000000003233,0.0006937500000000485
2026-08-16 18:45:00-04:00,1.35395,1.35435,1.3539,1.35435,6,0.00039999999999995595,0.0004499999999998394,0.0,4.999999999988347e-05,0.0,0.8888888888891082,6,1.35435,6.0,1.3531,3.0,1.35435,6.0,1.3532,3.0,0.0012499999999999734,0.0,0.3199999999999716,,,,0,,,,,,,,,,0.00045000000000000595,0.0006250000000000006,1.3538125,0.0,0.0,0.0,,,,,,,,48.366460663447725,0.0,0.0,0.0,40.49684302006044,0.0,0.0,0.0,,,0,3,0,1.9999999999997797,1.7499999999992522,1.000000000001,0,24.73708293278655,0,1.0,False,,,,,"{'FX_Open': Timestamp('2026-08-16 17:15:00-0400', tz='US/Eastern'), 'FX_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern'), 'TYO_Open': Timestamp('2026-08-16 19:00:00-0400', tz='US/Eastern'), 'TYO_Close': Timestamp('2026-08-17 04:00:00-0400', tz='US/Eastern'), 'LDN_Open': Timestamp('2026-08-17 02:00:00-0400', tz='US/Eastern'), 'LDN_Close': Timestamp('2026-08-17 11:00:00-0400', tz='US/Eastern'), 'NY_Open': Timestamp('2026-08-17 07:00:00-0400', tz='US/Eastern'), 'NY_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern')}",0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,,False,False,False,False,,,False,,,,False,0,7,0.0,0,True,0,"[nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,0.0,0,False,0.0,0,0.0,0.0,0.0,1.5624999999997051,1.5624999999997051,0.0,0.0,0.0,0.0,,0,0.0,,False,False,,,,,False,False,False,False,False,0,GBPUSD,1.35435,0.00045000000000000595,0.0006750000000000089
2026-08-16 19:00:00-04:00,1.35435,1.35455,1.3543,1.3544,7,5.0000000000105516e-05,0.00024999999999986144,0.00014999999999987246,4.999999999988347e-05,0.5999999999998223,0.8000000000003553,7,1.35455,7.0,1.3531,3.0,1.3544,7.0,1.3532,3.0,0.0014499999999999513,0.10344827586198448,0.13793103448274807,,,,0,,,,,,,,,,0.0003874999999999851,0.0005906249999999974,1.3541125,0.0,0.0,0.0,,,,,,,,56.3099324740173,0.0,0.0,0.0,32.076442717031554,0.0,0.0,0.0,,,0,4,0,0.2500000000005276,0.9999999999998899,1.9999999999997797,0,7.9434718105695765,0,,False,,,,,"{'FX_Open': Timestamp('2026-08-16 17:15:00-0400', tz='US/Eastern'), 'FX_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern'), 'TYO_Open': Timestamp('2026-08-16 19:00:00-0400', tz='US/Eastern'), 'TYO_Close': Timestamp('2026-08-17 04:00:00-0400', tz='US/Eastern'), 'LDN_Open': Timestamp('2026-08-17 02:00:00-0400', tz='US/Eastern'), 'LDN_Close': Timestamp('2026-08-17 11:00:00-0400', tz='US/Eastern'), 'NY_Open': Timestamp('2026-08-17 07:00:00-0400', tz='US/Eastern'), 'NY_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern')}",1.35455,1.3543,0.0,0.0,0.0,0.0,False,,,True,True,,,False,False,False,False,,,False,,,,False,0,8,0.0,0,True,0,"[nan, nan]","[0.0, 0.0, 0.0, 0.0, 1.35455, 1.3543]",False,0.0,0,False,0.0,0,0.0,0.0,0.0,1.8124999999996356,1.8124999999996356,0.0,0.0,0.0,0.0,,0,0.0,,False,False,,,,,False,False,False,False,False,0,GBPUSD,1.3544,0.0003874999999999851,0.0005812499999999776
2026-08-16 19:15:00-04:00,1.3544,1.35445,1.3543,1.3544,8,0.0,0.00014999999999987246,4.999999999988347e-05,9.999999999998899e-05,0.3333333333328399,0.3333333333328399,8,1.35455,7.0,1.3531,3.0,1.3544,7.0,1.3532,3.0,0.0014499999999999513,0.10344827586198448,0.10344827586198448,,,,0,,,,,,,,,,0.0002874999999999406,0.0005718749999999856,1.354275,0.0,0.0,0.0,,,,,,,,39.09385888620247,0.0,0.0,0.0,41.849907438582164,0.0,0.0,0.0,,,0,5,0,0.0,-0.49999999999994493,0.0,0,-17.216073587814833,0,,False,,,,,"{'FX_Open': Timestamp('2026-08-16 17:15:00-0400', tz='US/Eastern'), 'FX_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern'), 'TYO_Open': Timestamp('2026-08-16 19:00:00-0400', tz='US/Eastern'), 'TYO_Close': Timestamp('2026-08-17 04:00:00-0400', tz='US/Eastern'), 'LDN_Open': Timestamp('2026-08-17 02:00:00-0400', tz='US/Eastern'), 'LDN_Close': Timestamp('2026-08-17 11:00:00-0400', tz='US/Eastern'), 'NY_Open': Timestamp('2026-08-17 07:00:00-0400', tz='US/Eastern'), 'NY_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern')}",1.35455,1.3543,0.0,0.0,0.0,0.0,False,,True,,,,,False,False,False,False,,,True,7.0,1.35455,1.3543,False,0,9,0.0,0,True,0,"[nan, nan]","[0.0, 0.0, 0.0, 0.0, 1.35455, 1.3543]",False,0.0,0,False,0.0,0,0.0,0.1724137931033585,0.1724137931033585,1.8124999999996356,1.6874999999996705,0.0,0.0,0.0,0.0,,0,0.0,,False,False,,,,,False,False,False,False,False,0,GBPUSD,1.3544,0.0002874999999999406,0.00043124999999991087
2026-08-16 19:30:00-04:00,1.3544,1.35455,1.3543,1.3545,9,9.999999999998899e-05,0.00024999999999986144,4.999999999988347e-05,9.999999999998899e-05,0.19999999999964474,0.5999999999998223,9,1.35455,7.0,1.3531,3.0,1.3545,9.0,1.3532,3.0,0.0014499999999999513,0.03448275862061045,0.10344827586198448,,,,0,,,,,,,,,,0.0002749999999998587,0.0005343749999999758,1.3544125,0.0,0.0,0.0,,,,,,,,34.50852298769245,0.0,0.0,0.0,44.56969375283999,0.0,0.0,0.0,,,0,6,0,0.49999999999994493,0.49999999999994493,0.0,0,-4.585335898510017,0,,False,,,,,"{'FX_Open': Timestamp('2026-08-16 17:15:00-0400', tz='US/Eastern'), 'FX_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern'), 'TYO_Open': Timestamp('2026-08-16 19:00:00-0400', tz='US/Eastern'), 'TYO_Close': Timestamp('2026-08-17 04:00:00-0400', tz='US/Eastern'), 'LDN_Open': Timestamp('2026-08-17 02:00:00-0400', tz='US/Eastern'), 'LDN_Close': Timestamp('2026-08-17 11:00:00-0400', tz='US/Eastern'), 'NY_Open': Timestamp('2026-08-17 07:00:00-0400', tz='US/Eastern'), 'NY_Close': Timestamp('2026-08-17 17:00:00-0400', tz='US/Eastern')}",1.35455,1.3543,0.0,0.0,0.0,0.0,False,,,,,,,False,False,False,False,,,True,7.0,1.35455,1.3543,False,0,10,0.0,0,True,0,"[nan, nan]","[0.0, 0.0, 0.0, 0.0, 1.35455, 1.3543]",False,0.0,0,False,0.0,0,0.0,0.1724137931033585,0.1724137931033585,1.8124999999996356,1.8124999999996356,0.0,0.0,0.0,0.0,,0,0.0,,False,False,,,,,False,False,False,False,False,0,GBPUSD,1.3545,0.0002749999999998587,0.00041249999999978804
