Date,Open,High,Low,Close,Idx,Body,Range,UWick,LWick,Close_Pct_High,Open_Pct_High,Iday_Idx,Iday_High,Iday_HClose,Iday_LClose,Iday_Low,Iday_Range,Close_Pct_DHigh,Open_Pct_DHigh,Yday_High,Yday_Low,Yday_Range,Day_Idx,ADR,ATR,ATR4,SMA4,SMA8,SMA16,SMA32,BB_Upper_16_2,BB_Lower_16_2,Close_Pct_SMA,High_Pct_SMA,Low_Pct_SMA,RSI,RSI_DVG,Sig_High,Sig_Low,SMA_Trend,SMA4_Slope,SMA16_Slope,SMA32_Slope,SMA4_Slope_SMA,SMA16_Slope_SMA,SMA32_Slope_SMA,Hammer,Bull_Pinbar,Shooting_Star,Bear_Pinbar,Bull_Engulf,Bear_Engulf,Dark_Cloud,Piercing,ILR,IHR,S_R,S_R_Level,BBU_BO,BBL_BO,Bull_SMA_BO,Bear_SMA_BO,Bull_BBR,Bear_BBR,Bear_BBR_C1,Bear_BBR_C2,Bear_BBR_C3,Bear_BBR_C4,Bear_BBR_V2,Bull_BBR_C1,Bull_BBR_C2,Bull_BBR_C3,Bull_BBR_C4,Bull_BBR_V2,Bull_TC,Bear_TC,Bull_TC_Candle,Bear_TC_Candle,Bull_BM,Bear_BM,Bull_TM,Bear_TM,S_R_Signal,S_R_Entry,BRS,RS_SMA,Bull_XM,Bear_XM,Symbol
2023-03-13 17:15:00-04:00,1.21755,1.21839,1.21755,1.21806,0,0.0005100000000000104,0.0008400000000001739,0.0003300000000001635,0.0,0.39285714285725615,1.0,0,1.21839,1.21806,1.21806,1.21755,0.0008400000000001739,0.39285714285725615,1.0,,,,0,,,0.00019374999999999254,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,0.0,0.0,0.0,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,2,,False,False,GBPUSD
2023-03-13 17:30:00-04:00,1.21806,1.21862,1.218055,1.218405,1,0.0003450000000000397,0.0005649999999999267,0.00021500000000007624,4.999999999810711e-06,0.38053097345151177,0.9911504424782099,1,1.21862,1.218405,1.21806,1.21755,0.0010700000000001264,0.20093457943929985,0.523364485981355,,,,0,,,0.0002762499999999779,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,0.0,0.0,0.0,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,2,,False,False,GBPUSD
2023-03-13 17:45:00-04:00,1.218405,1.218605,1.21824,1.218545,2,0.000140000000000029,0.0003649999999999487,5.999999999994898e-05,0.00016499999999997073,0.16438356164371895,0.5479452054794687,2,1.21862,1.218545,1.21806,1.21755,0.0010700000000001264,0.07009345794396112,0.20093457943929985,,,,0,,,0.00033124999999994964,0.0,0.0,0.0,0.0,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,7,,False,False,GBPUSD
2023-03-13 18:00:00-04:00,1.218545,1.218875,1.218245,1.21825,3,0.0002949999999999342,0.0006299999999999084,0.00032999999999994145,5.000000000032756e-06,0.9920634920634389,0.5238095238095071,3,1.218875,1.218545,1.21806,1.21755,0.0013250000000000206,0.471698113207446,0.24905660377353683,,,,0,,,0.00043999999999994044,1.218315,0.0,0.0,0.0,,,,,,,,,,0,89.98589138810037,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,10,5.25,False,False,GBPUSD
2023-03-13 18:15:00-04:00,1.21825,1.218395,1.218,1.218045,4,0.00020500000000001073,0.0003949999999999232,0.0001449999999998397,4.500000000007276e-05,0.8860759493668823,0.36708860759460227,4,1.218875,1.218545,1.218045,1.21755,0.0013250000000000206,0.6264150943395271,0.471698113207446,,,,0,,,0.0004887499999999267,1.21831125,0.0,0.0,0.0,,,,,,,,,,0,89.98589134467362,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,4,5.75,False,False,GBPUSD
2023-03-13 18:30:00-04:00,1.218045,1.218155,1.21784,1.21795,5,9.499999999995623e-05,0.00031500000000006523,0.0001100000000000545,0.0001100000000000545,0.6507936507935501,0.3492063492064499,5,1.218875,1.218545,1.21795,1.21755,0.0013250000000000206,0.6981132075470402,0.6264150943395271,,,,0,,,0.0004262499999999614,1.2181975,0.0,0.0,0.0,,,,,,,,,,0,-21.388622827817617,0.0,0.0,39.645789976239094,0.0,0.0,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,7,7.0,False,False,GBPUSD
2023-03-13 18:45:00-04:00,1.21795,1.21811,1.217795,1.217905,6,4.500000000007276e-05,0.00031500000000006523,0.00015999999999993797,0.0001100000000000545,0.6507936507935501,0.5079365079362058,6,1.218875,1.218545,1.217905,1.21755,0.0013250000000000206,0.732075471698038,0.6981132075470402,,,,0,,,0.0004137499999999905,1.2180375,0.0,0.0,0.0,,,,,,,,,,0,-42.38045120458975,0.0,0.0,29.050677175091657,0.0,0.0,,,,True,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,7,7.0,False,False,GBPUSD
2023-03-13 19:00:00-04:00,1.217905,1.217955,1.21735,1.217495,7,0.00041000000000002146,0.0006049999999999667,4.999999999988347e-05,0.00014500000000006175,0.7603305785122815,0.0826446280989855,7,1.218875,1.218545,1.217495,1.21735,0.0015249999999999986,0.9049180327868447,0.6360655737704369,,,,0,,,0.0004075000000000051,1.21784875,1.218081875,0.0,0.0,,,,,,,,,,0,-49.29738666395143,0.0,0.0,-5.7701423379212935,0.0,0.0,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,3,5.25,False,False,GBPUSD
2023-03-13 19:15:00-04:00,1.217495,1.217675,1.217075,1.217125,8,0.00036999999999998145,0.000600000000000156,0.000180000000000069,5.0000000000105516e-05,0.9166666666665124,0.300000000000037,8,1.218875,1.218545,1.217125,1.217075,0.0018000000000000238,0.9722222222221639,0.7666666666666214,,,,0,,,0.0004587500000000633,1.21761875,1.217965,0.0,0.0,,,,,,,,,,0,-54.38151016075694,0.0,0.0,-41.861992714278934,0.0,0.0,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,3,5.0,False,False,GBPUSD
2023-03-13 19:30:00-04:00,1.217125,1.217375,1.21699,1.21724,9,0.00011500000000008725,0.0003850000000000797,0.00013499999999999623,0.00013499999999999623,0.3506493506492683,0.6493506493507317,9,1.218875,1.218545,1.217125,1.21699,0.0018849999999999145,0.8673740053049895,0.9283819628647202,,,,0,,,0.0004762500000000669,1.21744125,1.217819375,0.0,0.0,,,,,,,,,,0,-53.639636367604915,0.0,0.0,-49.92474609922576,0.0,0.0,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,6,4.75,False,False,GBPUSD
2023-03-13 19:45:00-04:00,1.21724,1.217355,1.21669,1.216715,10,0.0005250000000001087,0.0006649999999999157,0.00011499999999986521,2.4999999999941735e-05,0.9624060150376769,0.17293233082688692,10,1.218875,1.218545,1.216715,1.21669,0.0021849999999998815,0.988558352402772,0.7482837528603752,,,,0,,,0.0005637500000000295,1.21714375,1.2175906250000001,0.0,0.0,,,,,,,,,,0,-57.72435568542254,0.0,0.0,-53.76072221943396,0.0,0.0,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,7,4.75,False,False,GBPUSD
2023-03-13 20:00:00-04:00,1.216715,1.21689,1.215435,1.215555,11,0.0011600000000000499,0.001454999999999984,0.00017500000000003624,0.00011999999999989797,0.9175257731959455,0.1202749140893733,11,1.218875,1.218545,1.215555,1.215435,0.0034399999999998876,0.9651162790697959,0.627906976744189,,,,0,,,0.0007762500000000339,1.2166587500000001,1.21725375,0.0,0.0,,,,,,,,1.218875,,0,-69.02384660748513,0.0,0.0,-58.69233720531738,0.0,0.0,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,3,4.75,False,False,GBPUSD
