Date,Open,High,Low,Close,Volume,WAP,BarCount
2025-03-11T21:15:00,1.29563,1.295685,1.29518,1.295335,-1,-1,-1
2025-03-11T21:30:00,1.295335,1.29536,1.29455,1.29478,-1,-1,-1
2025-03-11T21:45:00,1.29478,1.2948,1.29459,1.294655,-1,-1,-1
2025-03-11T22:00:00,1.294655,1.295075,1.29447,1.294995,-1,-1,-1
2025-03-11T22:15:00,1.294995,1.295,1.294595,1.294665,-1,-1,-1
2025-03-11T22:30:00,1.294665,1.294705,1.294535,1.29457,-1,-1,-1
2025-03-11T22:45:00,1.29457,1.294895,1.29457,1.294845,-1,-1,-1
2025-03-11T23:00:00,1.294845,1.29501,1.29472,1.294955,-1,-1,-1
2025-03-11T23:15:00,1.294955,1.294955,1.29463,1.29495,-1,-1,-1
2025-03-11T23:30:00,1.29495,1.29495,1.294725,1.29484,-1,-1,-1
2025-03-11T23:45:00,1.29484,1.294895,1.294325,1.2944,-1,-1,-1
2025-03-12T00:00:00,1.2944,1.29463,1.294215,1.294285,-1,-1,-1
2025-03-12T00:15:00,1.294285,1.2944,1.29402,1.29403,-1,-1,-1
2025-03-12T00:30:00,1.29403,1.29403,1.29321,1.29337,-1,-1,-1
2025-03-12T00:45:00,1.29337,1.29362,1.29315,1.293585,-1,-1,-1
2025-03-12T01:00:00,1.293585,1.29386,1.29344,1.29349,-1,-1,-1
2025-03-12T01:15:00,1.29349,1.29403,1.293475,1.29391,-1,-1,-1
2025-03-12T01:30:00,1.29391,1.29435,1.293705,1.29375,-1,-1,-1
2025-03-12T01:45:00,1.29375,1.29388,1.293635,1.29374,-1,-1,-1
2025-03-12T02:00:00,1.29374,1.294275,1.29362,1.29411,-1,-1,-1
2025-03-12T02:15:00,1.29411,1.29422,1.29368,1.29376,-1,-1,-1
2025-03-12T02:30:00,1.29376,1.29394,1.293545,1.29368,-1,-1,-1
2025-03-12T02:45:00,1.29368,1.293795,1.29331,1.29335,-1,-1,-1
2025-03-12T03:00:00,1.29335,1.293535,1.29323,1.29326,-1,-1,-1
2025-03-12T03:15:00,1.29326,1.29337,1.292835,1.29313,-1,-1,-1
2025-03-12T03:30:00,1.29313,1.29313,1.29277,1.292845,-1,-1,-1
2025-03-12T03:45:00,1.292845,1.292845,1.29224,1.29225,-1,-1,-1
2025-03-12T04:00:00,1.29225,1.29249,1.29194,1.292135,-1,-1,-1
2025-03-12T04:15:00,1.292135,1.292505,1.292035,1.29241,-1,-1,-1
2025-03-12T04:30:00,1.29241,1.292525,1.29211,1.292335,-1,-1,-1
2025-03-12T04:45:00,1.292335,1.292615,1.292265,1.292385,-1,-1,-1
2025-03-12T05:00:00,1.292385,1.29243,1.292065,1.292295,-1,-1,-1
2025-03-12T05:15:00,1.292295,1.29258,1.292165,1.292395,-1,-1,-1
2025-03-12T05:30:00,1.292395,1.29274,1.292385,1.292705,-1,-1,-1
2025-03-12T05:45:00,1.292705,1.29316,1.29253,1.293125,-1,-1,-1
2025-03-12T06:00:00,1.293125,1.293265,1.29286,1.29304,-1,-1,-1
2025-03-12T06:15:00,1.29304,1.29313,1.292455,1.29264,-1,-1,-1
2025-03-12T06:30:00,1.29264,1.293065,1.29241,1.292645,-1,-1,-1
2025-03-12T06:45:00,1.292645,1.29267,1.291575,1.29167,-1,-1,-1
2025-03-12T07:00:00,1.29167,1.29236,1.291365,1.29225,-1,-1,-1
2025-03-12T07:15:00,1.29225,1.29257,1.291865,1.29242,-1,-1,-1
2025-03-12T07:30:00,1.29242,1.29307,1.292185,1.292835,-1,-1,-1
2025-03-12T07:45:00,1.292835,1.29324,1.29183,1.292885,-1,-1,-1
2025-03-12T08:00:00,1.292885,1.293485,1.29236,1.29285,-1,-1,-1
2025-03-12T08:15:00,1.29285,1.29318,1.292755,1.29289,-1,-1,-1
2025-03-12T08:30:00,1.29289,1.293615,1.29254,1.293265,-1,-1,-1
2025-03-12T08:45:00,1.293265,1.29422,1.292775,1.29421,-1,-1,-1
2025-03-12T09:00:00,1.29421,1.29453,1.29375,1.293895,-1,-1,-1
2025-03-12T09:15:00,1.293895,1.294335,1.29376,1.29396,-1,-1,-1
2025-03-12T09:30:00,1.29396,1.29458,1.293885,1.29395,-1,-1,-1
2025-03-12T09:45:00,1.29395,1.29405,1.29338,1.293455,-1,-1,-1
2025-03-12T10:00:00,1.293455,1.294245,1.293305,1.2942,-1,-1,-1
2025-03-12T10:15:00,1.2942,1.29424,1.29391,1.294135,-1,-1,-1
