Date,Open,High,Low,Close,Volume,WAP,BarCount
2021-03-11T22:15:00,1.3988,1.39913,1.3988,1.398825,-1,-1,-1
2021-03-11T22:30:00,1.398825,1.39895,1.398795,1.39894,-1,-1,-1
2021-03-11T22:45:00,1.39894,1.39909,1.398715,1.39882,-1,-1,-1
2021-03-11T23:00:00,1.39882,1.3991,1.39869,1.39904,-1,-1,-1
2021-03-11T23:15:00,1.39904,1.39913,1.39888,1.39913,-1,-1,-1
2021-03-11T23:30:00,1.39913,1.39939,1.398895,1.3989,-1,-1,-1
2021-03-11T23:45:00,1.3989,1.399005,1.398705,1.39879,-1,-1,-1
2021-03-12T00:00:00,1.39879,1.39927,1.398505,1.398915,-1,-1,-1
2021-03-12T00:15:00,1.398915,1.399095,1.39866,1.398995,-1,-1,-1
2021-03-12T00:30:00,1.398995,1.39925,1.39884,1.399125,-1,-1,-1
2021-03-12T00:45:00,1.399125,1.39969,1.3991,1.399605,-1,-1,-1
2021-03-12T01:00:00,1.399605,1.4005,1.399515,1.39985,-1,-1,-1
2021-03-12T01:15:00,1.39985,1.399965,1.399305,1.399705,-1,-1,-1
2021-03-12T01:30:00,1.399705,1.399735,1.39934,1.399445,-1,-1,-1
2021-03-12T01:45:00,1.399445,1.39972,1.399345,1.3995,-1,-1,-1
2021-03-12T02:00:00,1.3995,1.399515,1.39882,1.39894,-1,-1,-1
2021-03-12T02:15:00,1.39894,1.39909,1.39799,1.398045,-1,-1,-1
2021-03-12T02:30:00,1.398045,1.398215,1.39771,1.397795,-1,-1,-1
2021-03-12T02:45:00,1.397795,1.39793,1.39735,1.397755,-1,-1,-1
2021-03-12T03:00:00,1.397755,1.39813,1.397585,1.397825,-1,-1,-1
2021-03-12T03:15:00,1.397825,1.398025,1.397365,1.397755,-1,-1,-1
2021-03-12T03:30:00,1.397755,1.397945,1.397395,1.397515,-1,-1,-1
2021-03-12T03:45:00,1.397515,1.397765,1.397285,1.397765,-1,-1,-1
2021-03-12T04:00:00,1.397765,1.398335,1.39741,1.39816,-1,-1,-1
2021-03-12T04:15:00,1.39816,1.398435,1.398045,1.398045,-1,-1,-1
2021-03-12T04:30:00,1.398045,1.398145,1.397915,1.39801,-1,-1,-1
2021-03-12T04:45:00,1.39801,1.398045,1.39781,1.397825,-1,-1,-1
2021-03-12T05:00:00,1.397825,1.39804,1.39741,1.397485,-1,-1,-1
2021-03-12T05:15:00,1.397485,1.39755,1.39714,1.397395,-1,-1,-1
2021-03-12T05:30:00,1.397395,1.39749,1.397215,1.39725,-1,-1,-1
2021-03-12T05:45:00,1.39725,1.397575,1.397065,1.397555,-1,-1,-1
2021-03-12T06:00:00,1.397555,1.397685,1.395905,1.396155,-1,-1,-1
2021-03-12T06:15:00,1.396155,1.396235,1.39574,1.39614,-1,-1,-1
2021-03-12T06:30:00,1.39614,1.39627,1.3947,1.39498,-1,-1,-1
2021-03-12T06:45:00,1.39498,1.39532,1.394525,1.39532,-1,-1,-1
2021-03-12T07:00:00,1.39532,1.395585,1.39435,1.394505,-1,-1,-1
2021-03-12T07:15:00,1.394505,1.39484,1.39382,1.39467,-1,-1,-1
2021-03-12T07:30:00,1.39467,1.394935,1.39355,1.394605,-1,-1,-1
2021-03-12T07:45:00,1.394605,1.394915,1.393745,1.394325,-1,-1,-1
2021-03-12T08:00:00,1.394325,1.394875,1.39317,1.394765,-1,-1,-1
2021-03-12T08:15:00,1.394765,1.395345,1.394285,1.394325,-1,-1,-1
2021-03-12T08:30:00,1.394325,1.39433,1.393125,1.39341,-1,-1,-1
2021-03-12T08:45:00,1.39341,1.394445,1.39341,1.394185,-1,-1,-1
2021-03-12T09:00:00,1.394185,1.394425,1.393675,1.394015,-1,-1,-1
2021-03-12T09:15:00,1.394015,1.394015,1.392105,1.392585,-1,-1,-1
2021-03-12T09:30:00,1.392585,1.393065,1.39128,1.391395,-1,-1,-1
2021-03-12T09:45:00,1.391395,1.391735,1.390665,1.39124,-1,-1,-1
2021-03-12T10:00:00,1.39124,1.3919,1.39093,1.39187,-1,-1,-1
2021-03-12T10:15:00,1.39187,1.392145,1.391465,1.392095,-1,-1,-1
2021-03-12T10:30:00,1.392095,1.39294,1.392055,1.39294,-1,-1,-1
2021-03-12T10:45:00,1.39294,1.393365,1.39286,1.39302,-1,-1,-1
2021-03-12T11:00:00,1.39302,1.39303,1.392025,1.392455,-1,-1,-1
2021-03-12T11:15:00,1.392455,1.392595,1.39113,1.391425,-1,-1,-1
2021-03-12T11:30:00,1.391425,1.39189,1.389165,1.389345,-1,-1,-1
2021-03-12T11:45:00,1.389345,1.389655,1.387945,1.38852,-1,-1,-1
2021-03-12T12:00:00,1.38852,1.39035,1.388345,1.390055,-1,-1,-1
2021-03-12T12:15:00,1.390055,1.39044,1.389465,1.389705,-1,-1,-1
2021-03-12T12:30:00,1.389705,1.390135,1.38917,1.390015,-1,-1,-1
2021-03-12T12:45:00,1.390015,1.390345,1.389655,1.38977,-1,-1,-1
2021-03-12T13:00:00,1.38977,1.390405,1.389515,1.390235,-1,-1,-1
2021-03-12T13:15:00,1.390235,1.390785,1.38917,1.389215,-1,-1,-1
2021-03-12T13:30:00,1.389215,1.39076,1.389175,1.38984,-1,-1,-1
2021-03-12T13:45:00,1.38984,1.38984,1.387915,1.388565,-1,-1,-1
2021-03-12T14:00:00,1.388565,1.38896,1.387205,1.387345,-1,-1,-1
2021-03-12T14:15:00,1.387345,1.388175,1.387245,1.387495,-1,-1,-1
2021-03-12T14:30:00,1.387495,1.38867,1.386345,1.388665,-1,-1,-1
2021-03-12T14:45:00,1.388665,1.38909,1.38804,1.388985,-1,-1,-1
2021-03-12T15:00:00,1.388985,1.389895,1.388315,1.388645,-1,-1,-1
2021-03-12T15:15:00,1.388645,1.388645,1.386535,1.38725,-1,-1,-1
2021-03-12T15:30:00,1.38725,1.388255,1.38663,1.38821,-1,-1,-1
2021-03-12T15:45:00,1.38821,1.389825,1.38812,1.389525,-1,-1,-1
2021-03-12T16:00:00,1.389525,1.389685,1.388545,1.389355,-1,-1,-1
2021-03-12T16:15:00,1.389355,1.39085,1.389135,1.39026,-1,-1,-1
2021-03-12T16:30:00,1.39026,1.391865,1.390225,1.391845,-1,-1,-1
2021-03-12T16:45:00,1.391845,1.392625,1.391535,1.39261,-1,-1,-1
2021-03-12T17:00:00,1.39261,1.39327,1.39239,1.39326,-1,-1,-1
2021-03-12T17:15:00,1.39326,1.393535,1.392555,1.392665,-1,-1,-1
2021-03-12T17:30:00,1.392665,1.39319,1.39243,1.39267,-1,-1,-1
2021-03-12T17:45:00,1.39267,1.392935,1.39221,1.39222,-1,-1,-1
2021-03-12T18:00:00,1.39222,1.392525,1.39171,1.39213,-1,-1,-1
2021-03-12T18:15:00,1.39213,1.39221,1.391685,1.392105,-1,-1,-1
2021-03-12T18:30:00,1.392105,1.39251,1.39187,1.39199,-1,-1,-1
2021-03-12T18:45:00,1.39199,1.39224,1.391505,1.39191,-1,-1,-1
2021-03-12T19:00:00,1.39191,1.39217,1.391805,1.391905,-1,-1,-1
2021-03-12T19:15:00,1.391905,1.391905,1.391435,1.39144,-1,-1,-1
2021-03-12T19:30:00,1.39144,1.392475,1.39143,1.39243,-1,-1,-1
2021-03-12T19:45:00,1.39243,1.392725,1.39223,1.392295,-1,-1,-1
2021-03-12T20:00:00,1.392295,1.39252,1.3919,1.392205,-1,-1,-1
2021-03-12T20:15:00,1.392205,1.392625,1.392115,1.39261,-1,-1,-1
2021-03-12T20:30:00,1.39261,1.393275,1.392565,1.392975,-1,-1,-1
2021-03-12T20:45:00,1.392975,1.3931,1.39275,1.392955,-1,-1,-1
2021-03-12T21:00:00,1.392955,1.39297,1.39258,1.392905,-1,-1,-1
2021-03-12T21:15:00,1.392905,1.392905,1.392265,1.392435,-1,-1,-1
2021-03-12T21:30:00,1.392435,1.392585,1.392125,1.39224,-1,-1,-1
2021-03-12T21:45:00,1.39224,1.392245,1.391065,1.391825,-1,-1,-1
2021-03-14T21:15:00,1.391925,1.392275,1.391925,1.39202,-1,-1,-1
2021-03-14T21:30:00,1.39202,1.392095,1.39197,1.391975,-1,-1,-1
2021-03-14T21:45:00,1.391975,1.39225,1.391975,1.392045,-1,-1,-1
2021-03-14T22:00:00,1.392045,1.392545,1.39204,1.39222,-1,-1,-1
2021-03-14T22:15:00,1.39222,1.392515,1.392065,1.392115,-1,-1,-1
2021-03-14T22:30:00,1.392115,1.392515,1.39203,1.39245,-1,-1,-1
2021-03-14T22:45:00,1.39245,1.392545,1.392265,1.392395,-1,-1,-1
2021-03-14T23:00:00,1.392395,1.393225,1.39213,1.393115,-1,-1,-1
2021-03-14T23:15:00,1.393115,1.393135,1.3925,1.39255,-1,-1,-1
2021-03-14T23:30:00,1.39255,1.39284,1.39226,1.392755,-1,-1,-1
2021-03-14T23:45:00,1.392755,1.39301,1.392495,1.392995,-1,-1,-1
2021-03-15T00:00:00,1.392995,1.39371,1.39296,1.393435,-1,-1,-1
2021-03-15T00:15:00,1.393435,1.39366,1.39333,1.39346,-1,-1,-1
2021-03-15T00:30:00,1.39346,1.394135,1.393385,1.3941,-1,-1,-1
2021-03-15T00:45:00,1.3941,1.394165,1.39303,1.393205,-1,-1,-1
2021-03-15T01:00:00,1.393205,1.393885,1.39297,1.39375,-1,-1,-1
2021-03-15T01:15:00,1.39375,1.39497,1.39369,1.394815,-1,-1,-1
2021-03-15T01:30:00,1.394815,1.39497,1.39375,1.393995,-1,-1,-1
2021-03-15T01:45:00,1.393995,1.394335,1.39349,1.393645,-1,-1,-1
2021-03-15T02:00:00,1.393645,1.394135,1.39339,1.39382,-1,-1,-1
2021-03-15T02:15:00,1.39382,1.393825,1.392175,1.392325,-1,-1,-1
2021-03-15T02:30:00,1.392325,1.39282,1.392165,1.392505,-1,-1,-1
2021-03-15T02:45:00,1.392505,1.3927,1.39211,1.39244,-1,-1,-1
2021-03-15T03:00:00,1.39244,1.392755,1.392125,1.392375,-1,-1,-1
2021-03-15T03:15:00,1.392375,1.39255,1.39221,1.392375,-1,-1,-1
2021-03-15T03:30:00,1.392375,1.392815,1.392295,1.392655,-1,-1,-1
2021-03-15T03:45:00,1.392655,1.39275,1.39241,1.392685,-1,-1,-1
2021-03-15T04:00:00,1.392685,1.392685,1.392435,1.392595,-1,-1,-1
2021-03-15T04:15:00,1.392595,1.392845,1.392465,1.39275,-1,-1,-1
2021-03-15T04:30:00,1.39275,1.392975,1.39254,1.392615,-1,-1,-1
2021-03-15T04:45:00,1.392615,1.39273,1.39234,1.392515,-1,-1,-1
2021-03-15T05:00:00,1.392515,1.39262,1.392155,1.392405,-1,-1,-1
2021-03-15T05:15:00,1.392405,1.39242,1.39128,1.391315,-1,-1,-1
2021-03-15T05:30:00,1.391315,1.39146,1.39038,1.39108,-1,-1,-1
2021-03-15T05:45:00,1.39108,1.39126,1.390515,1.390775,-1,-1,-1
2021-03-15T06:00:00,1.390775,1.39096,1.390125,1.39028,-1,-1,-1
