Date,Open,High,Low,Close,Volume,WAP,BarCount
2025-03-12T21:15:00,1.436755,1.43689,1.436665,1.436825,-1,-1,-1
2025-03-12T21:30:00,1.436825,1.436895,1.43681,1.43687,-1,-1,-1
2025-03-12T21:45:00,1.43687,1.437175,1.43683,1.436915,-1,-1,-1
2025-03-12T22:00:00,1.436915,1.436915,1.436625,1.43665,-1,-1,-1
2025-03-12T22:15:00,1.43665,1.43666,1.436485,1.436565,-1,-1,-1
2025-03-12T22:30:00,1.436565,1.4366,1.43645,1.436505,-1,-1,-1
2025-03-12T22:45:00,1.436505,1.436595,1.43646,1.43651,-1,-1,-1
2025-03-12T23:00:00,1.43651,1.43653,1.435935,1.436105,-1,-1,-1
2025-03-12T23:15:00,1.436105,1.436665,1.435965,1.436665,-1,-1,-1
2025-03-12T23:30:00,1.436665,1.436785,1.436565,1.43676,-1,-1,-1
2025-03-12T23:45:00,1.43676,1.436915,1.435945,1.43597,-1,-1,-1
2025-03-13T00:00:00,1.43597,1.436595,1.43594,1.43657,-1,-1,-1
2025-03-13T00:15:00,1.43657,1.436865,1.43649,1.436745,-1,-1,-1
2025-03-13T00:30:00,1.436745,1.436855,1.43646,1.436565,-1,-1,-1
2025-03-13T00:45:00,1.436565,1.43662,1.436135,1.43629,-1,-1,-1
2025-03-13T01:00:00,1.43629,1.437405,1.43608,1.43722,-1,-1,-1
2025-03-13T01:15:00,1.43722,1.43748,1.43695,1.43736,-1,-1,-1
2025-03-13T01:30:00,1.43736,1.437675,1.437215,1.437365,-1,-1,-1
2025-03-13T01:45:00,1.437365,1.437465,1.436565,1.437035,-1,-1,-1
2025-03-13T02:00:00,1.437035,1.437155,1.43663,1.4367,-1,-1,-1
2025-03-13T02:15:00,1.4367,1.43752,1.43663,1.437425,-1,-1,-1
2025-03-13T02:30:00,1.437425,1.43768,1.43723,1.437465,-1,-1,-1
2025-03-13T02:45:00,1.437465,1.43767,1.43723,1.43753,-1,-1,-1
2025-03-13T03:00:00,1.43753,1.437925,1.437525,1.43783,-1,-1,-1
2025-03-13T03:15:00,1.43783,1.437995,1.437525,1.43797,-1,-1,-1
2025-03-13T03:30:00,1.43797,1.438485,1.437965,1.438135,-1,-1,-1
2025-03-13T03:45:00,1.438135,1.43879,1.438055,1.43877,-1,-1,-1
2025-03-13T04:00:00,1.43877,1.438935,1.438435,1.438615,-1,-1,-1
2025-03-13T04:15:00,1.438615,1.438805,1.4385,1.43869,-1,-1,-1
2025-03-13T04:30:00,1.43869,1.439385,1.438675,1.43908,-1,-1,-1
2025-03-13T04:45:00,1.43908,1.439085,1.438635,1.438825,-1,-1,-1
2025-03-13T05:00:00,1.438825,1.43937,1.43882,1.439075,-1,-1,-1
2025-03-13T05:15:00,1.439075,1.43941,1.438865,1.43919,-1,-1,-1
2025-03-13T05:30:00,1.43919,1.43952,1.43915,1.43942,-1,-1,-1
2025-03-13T05:45:00,1.43942,1.43991,1.43938,1.43951,-1,-1,-1
2025-03-13T06:00:00,1.43951,1.44025,1.439355,1.44004,-1,-1,-1
2025-03-13T06:15:00,1.44004,1.44025,1.4397,1.43972,-1,-1,-1
2025-03-13T06:30:00,1.43972,1.44031,1.439535,1.440225,-1,-1,-1
2025-03-13T06:45:00,1.440225,1.440255,1.439365,1.439715,-1,-1,-1
2025-03-13T07:00:00,1.439715,1.44002,1.439495,1.439595,-1,-1,-1
2025-03-13T07:15:00,1.439595,1.43972,1.43922,1.439425,-1,-1,-1
2025-03-13T07:30:00,1.439425,1.440475,1.43932,1.439955,-1,-1,-1
2025-03-13T07:45:00,1.439955,1.439955,1.4392,1.439735,-1,-1,-1
2025-03-13T08:00:00,1.439735,1.440105,1.439045,1.43942,-1,-1,-1
2025-03-13T08:15:00,1.43942,1.439755,1.43796,1.43804,-1,-1,-1
2025-03-13T08:30:00,1.43804,1.438555,1.43804,1.43852,-1,-1,-1
2025-03-13T08:45:00,1.43852,1.43902,1.43848,1.438845,-1,-1,-1
2025-03-13T09:00:00,1.438845,1.43924,1.438285,1.438435,-1,-1,-1
2025-03-13T09:15:00,1.438435,1.438515,1.437595,1.43761,-1,-1,-1
2025-03-13T09:30:00,1.43761,1.437755,1.437285,1.437685,-1,-1,-1
2025-03-13T09:45:00,1.437685,1.437965,1.436845,1.43697,-1,-1,-1
2025-03-13T10:00:00,1.43697,1.43736,1.43671,1.436915,-1,-1,-1
2025-03-13T10:15:00,1.436915,1.43744,1.436725,1.437415,-1,-1,-1
2025-03-13T10:30:00,1.437415,1.438015,1.437375,1.437415,-1,-1,-1
2025-03-13T10:45:00,1.437415,1.43812,1.43734,1.43744,-1,-1,-1
2025-03-13T11:00:00,1.43744,1.438455,1.43719,1.43831,-1,-1,-1
2025-03-13T11:15:00,1.43831,1.43841,1.43762,1.437985,-1,-1,-1
2025-03-13T11:30:00,1.437985,1.438705,1.43729,1.43848,-1,-1,-1
2025-03-13T11:45:00,1.43848,1.43874,1.437245,1.437835,-1,-1,-1
2025-03-13T12:00:00,1.437835,1.43955,1.43783,1.439485,-1,-1,-1
2025-03-13T12:15:00,1.439485,1.43967,1.438655,1.438815,-1,-1,-1
2025-03-13T12:30:00,1.438815,1.43914,1.43697,1.43885,-1,-1,-1
2025-03-13T12:45:00,1.43885,1.440245,1.438695,1.439825,-1,-1,-1
2025-03-13T13:00:00,1.439825,1.44046,1.439415,1.439485,-1,-1,-1
2025-03-13T13:15:00,1.439485,1.43974,1.43878,1.43934,-1,-1,-1
2025-03-13T13:30:00,1.43934,1.43977,1.437865,1.438305,-1,-1,-1
2025-03-13T13:45:00,1.438305,1.439845,1.438245,1.439645,-1,-1,-1
2025-03-13T14:00:00,1.439645,1.440375,1.439045,1.439875,-1,-1,-1
2025-03-13T14:15:00,1.439875,1.440195,1.438395,1.438875,-1,-1,-1
2025-03-13T14:30:00,1.438875,1.439145,1.438,1.43872,-1,-1,-1
2025-03-13T14:45:00,1.43872,1.43967,1.438535,1.438775,-1,-1,-1
2025-03-13T15:00:00,1.438775,1.440655,1.43852,1.44032,-1,-1,-1
2025-03-13T15:15:00,1.44032,1.440365,1.439165,1.43991,-1,-1,-1
2025-03-13T15:30:00,1.43991,1.44049,1.439315,1.43979,-1,-1,-1
2025-03-13T15:45:00,1.43979,1.4403,1.439335,1.439925,-1,-1,-1
2025-03-13T16:00:00,1.439925,1.44048,1.43964,1.440065,-1,-1,-1
2025-03-13T16:15:00,1.440065,1.44156,1.440055,1.441165,-1,-1,-1
2025-03-13T16:30:00,1.441165,1.4413,1.44036,1.441105,-1,-1,-1
2025-03-13T16:45:00,1.441105,1.44256,1.441095,1.442135,-1,-1,-1
2025-03-13T17:00:00,1.442135,1.443655,1.441935,1.4436,-1,-1,-1
2025-03-13T17:15:00,1.4436,1.44513,1.44358,1.44479,-1,-1,-1
2025-03-13T17:30:00,1.44479,1.44484,1.44406,1.444235,-1,-1,-1
2025-03-13T17:45:00,1.444235,1.44518,1.444,1.44501,-1,-1,-1
2025-03-13T18:00:00,1.44501,1.44507,1.44272,1.44285,-1,-1,-1
2025-03-13T18:15:00,1.44285,1.44339,1.4423,1.442305,-1,-1,-1
2025-03-13T18:30:00,1.442305,1.4427,1.442205,1.442385,-1,-1,-1
2025-03-13T18:45:00,1.442385,1.442685,1.44233,1.44237,-1,-1,-1
2025-03-13T19:00:00,1.44237,1.442955,1.44193,1.442445,-1,-1,-1
2025-03-13T19:15:00,1.442445,1.443005,1.442275,1.44244,-1,-1,-1
2025-03-13T19:30:00,1.44244,1.442715,1.442135,1.442225,-1,-1,-1
2025-03-13T19:45:00,1.442225,1.443595,1.44221,1.443525,-1,-1,-1
2025-03-13T20:00:00,1.443525,1.44385,1.443005,1.44332,-1,-1,-1
2025-03-13T20:15:00,1.44332,1.443365,1.44288,1.443035,-1,-1,-1
2025-03-13T20:30:00,1.443035,1.44377,1.44301,1.443455,-1,-1,-1
2025-03-13T20:45:00,1.443455,1.444395,1.44335,1.44395,-1,-1,-1
2025-03-13T21:15:00,1.444215,1.444655,1.443995,1.444285,-1,-1,-1
2025-03-13T21:30:00,1.444285,1.44438,1.44404,1.444305,-1,-1,-1
2025-03-13T21:45:00,1.444305,1.44452,1.44406,1.44425,-1,-1,-1
2025-03-13T22:00:00,1.44425,1.44427,1.44343,1.44343,-1,-1,-1
